stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
1.111,111,"Hospital de Bellvitge",41.344677,2.107242,,0,P.6660111,1
1.112,112,"Bellvitge",41.350975,2.110917,,0,P.6660112,1
1.113,113,"Av. Carrilet",41.358553,2.102632,,0,P.6660113,1
1.114,114,"Rambla Just Oliveras",41.36409,2.099749,,0,P.6660114,1
1.115,115,"Can Serra",41.367694,2.102758,,0,P.6660115,1
1.116,116,"Florida",41.368316,2.110027,,0,P.6660116,1
1.117,117,"Torrassa",41.368396,2.116594,,0,P.6660117,1
1.915,915,"Torrassa",41.368223,2.115756,,0,P.6660117,1
1.118,118,"Santa Eulàlia",41.368816,2.128617,,0,P.6660118,1
1.119,119,"Mercat Nou",41.373003,2.133536,,0,P.6660119,1
1.120,120,"Plaça de Sants",41.375353,2.138154,,0,P.6660120,2
1.517,517,"Plaça de Sants",41.375727,2.135159,,0,P.6660120,2
1.121,121,"Hostafrancs",41.375254,2.143291,,0,P.6660121,1
1.122,122,"Espanya",41.37551,2.149382,,0,P.6660122,2
1.321,321,"Espanya",41.375018,2.151555,,0,P.6660122,2
1.123,123,"Rocafort",41.379232,2.154562,,0,P.6660123,1
1.124,124,"Urgell",41.382487,2.158891,,0,P.6660124,1
1.125,125,"Universitat",41.385815,2.164284,,0,P.6660125,1
1.212,212,"Universitat",41.384768,2.163913,,0,P.6660125,1
1.126,126,"Catalunya",41.387489,2.168995,,0,P.6660126,1
1.326,326,"Catalunya",41.386322,2.170092,,0,P.6660126,1
1.127,127,"Urquinaona",41.389636,2.174567,,0,P.6660127,2
1.424,424,"Urquinaona",41.387961,2.173445,,0,P.6660127,2
1.128,128,"Arc de Triomf",41.392337,2.181165,,0,P.6660128,1
1.129,129,"Marina",41.394725,2.185801,,0,P.6660129,1
1.130,130,"Glòries",41.402277,2.187537,,0,P.6660130,1
1.131,131,"Clot",41.410163,2.187003,,0,P.6660131,2
1.218,218,"Clot",41.410358,2.186835,,0,P.6660131,1
1.132,132,"Navas",41.416187,2.187057,,0,P.6660132,1
1.133,133,"La Sagrera",41.422369,2.186975,,0,P.6660133,1
1.526,526,"La Sagrera",41.421296,2.186582,,0,P.6660133,1
1.930,930,"La Sagrera",41.420494,2.186723,,0,P.6660133,1
1.134,134,"Fabra i Puig",41.429633,2.183661,,0,P.6660134,1
1.135,135,"Sant Andreu",41.4366,2.191187,,0,P.6660135,1
1.136,136,"Torras i Bages",41.443225,2.190671,,0,P.6660136,1
1.137,137,"Trinitat Vella",41.448956,2.193837,,0,P.6660137,1
1.138,138,"Baró de Viver",41.449936,2.199563,,0,P.6660138,1
1.139,139,"Santa Coloma",41.451067,2.207969,,0,P.6660139,1
1.140,140,"Fondo",41.451583,2.218435,,0,P.6660140,1
1.942,942,"Fondo",41.451876,2.218485,,0,P.6660140,1
1.210,210,"Paral·lel",41.375004,2.169117,,0,P.6660210,1
1.323,323,"Paral·lel",41.374892,2.169118,,0,P.6660210,1
1.211,211,"Sant Antoni",41.379833,2.163241,,0,P.6660211,1
1.213,213,"Passeig de Gràcia",41.389416,2.168243,,0,P.6660213,1
1.327,327,"Passeig de Gràcia",41.391603,2.165347,,0,P.6660213,1
